year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,6,1,19,0.090492,0.023102,0.013038,0.012896,0
2022,6,1,20,0.116008,0.032471,0.014342,0.014025,0
2022,6,1,21,0.138484,0.044274,0.016839,0.016165,0
2022,6,1,22,0.160398,0.058718,0.01942,0.018348,0
2022,6,1,23,0.172262,0.075351,0.021616,0.020355,0
2022,6,2,0,0.17361,0.092592,0.021813,0.020405,0
2022,6,2,1,0.180407,0.109469,0.023095,0.021877,0
2022,6,2,2,0.188598,0.123927,0.024159,0.02529,0
2022,6,2,3,0.195478,0.135842,0.024699,0.014397,0
2022,6,2,4,0.207675,0.147804,0.030239,0.013614,0
2022,6,2,5,0.212416,0.158701,0.020571,0.013606,0
2022,6,2,6,0.226249,0.16432,0.033213,0.031606,0
2022,6,2,7,0.235205,0.169398,0.023658,0.028451,0
2022,6,2,8,0.21853,0.167742,0.024333,0.018116,0
2022,6,2,9,0.18428,0.149162,0.020957,0.013305,0
2022,6,2,10,0.151063,0.130987,0.020643,0.012698,0
2022,6,2,11,0.125203,0.115802,0.020296,0.012231,0
2022,6,2,12,0.102886,0.102397,0.017691,0.011579,0
2022,6,2,13,0.087591,0.094456,0.018888,0.012075,0
2022,6,2,14,0.078589,0.087203,0.017971,0.011995,0
2022,6,2,15,0.073161,0.081627,0.018389,0.01206,0
2022,6,2,16,0.076307,0.082639,0.019537,0.012753,0
2022,6,2,17,0.07411,0.078718,0.019107,0.012309,0
2022,6,2,18,0.076426,0.076945,0.019292,0.012494,0
2022,6,2,19,0.083071,0.078035,0.019682,0.012897,0
2022,6,2,20,0.09289,0.081521,0.020778,0.01408,0
2022,6,2,21,0.116902,0.087851,0.022716,0.015958,0
2022,6,2,22,0.145469,0.09678,0.025076,0.0183,0
2022,6,2,23,0.165794,0.107315,0.02758,0.020839,0
2022,6,3,0,0.175219,0.118681,0.028581,0.021746,0
2022,6,3,1,0.178859,0.129105,0.02921,0.023533,0
2022,6,3,2,0.585076,0.279486,0.039217,0.029134,1.778
2022,6,3,3,0.598695,0.359039,0.042842,0.03007,0.254
2022,6,3,4,0.322492,0.392655,0.045852,0.030357,0
2022,6,3,5,0.316084,0.413342,0.04861,0.030669,0
2022,6,3,6,0.316443,0.427925,0.051214,0.030958,0
2022,6,3,7,0.315698,0.438887,0.053714,0.031248,0
2022,6,3,8,0.314997,0.447218,0.056257,0.03158,0
2022,6,3,9,0.292805,0.370085,0.052373,0.030214,0
2022,6,3,10,0.261867,0.337158,0.052877,0.022574,0
2022,6,3,11,0.237023,0.305932,0.053072,0.019168,0
2022,6,3,12,0.202052,0.26944,0.052795,0.016751,0
2022,6,3,13,0.166542,0.236026,0.049312,0.016011,0
2022,6,3,14,0.141901,0.20916,0.049164,0.015999,0
2022,6,3,15,0.596382,0.348943,0.057416,0.020083,0.508
2022,6,3,16,0.26282,0.257315,0.048642,0.015876,0
2022,6,3,17,0.186893,0.217136,0.047662,0.015836,0
2022,6,3,18,0.14209,0.191735,0.050083,0.016188,0
2022,6,3,19,0.596219,0.340237,0.059293,0.020825,0.762
2022,6,3,20,0.59984,0.421795,0.074814,0.03214,3.81
2022,6,3,21,0.321702,0.38586,0.081342,0.032465,0
2022,6,3,22,0.590821,0.432259,0.093178,0.035646,0.254
2022,6,3,23,0.320632,0.466944,0.100787,0.036125,0
2022,6,4,0,0.58923,0.524777,0.113554,0.039371,0.254
2022,6,4,1,0.320922,0.524777,0.122414,0.039927,0
2022,6,4,2,0.318269,0.524777,0.130422,0.040509,0
2022,6,4,3,0.318418,0.524777,0.137638,0.041017,0
2022,6,4,4,0.3184,0.524777,0.144265,0.041507,0
2022,6,4,5,0.318398,0.524777,0.150516,0.042033,0
2022,6,4,6,0.318397,0.524777,0.156555,0.042524,0
2022,6,4,7,0.321573,0.524777,0.162382,0.043029,0
2022,6,4,8,0.315224,0.452134,0.162524,0.02701,0
2022,6,4,9,0.293,0.381091,0.164292,0.030673,0
2022,6,4,10,0.259273,0.342245,0.161695,0.027828,0
2022,6,4,11,0.233928,0.311682,0.160952,0.027679,0
2022,6,4,12,0.589993,0.420225,0.169967,0.031789,0.508
2022,6,4,13,0.59944,0.478289,0.1749,0.032576,0.254
2022,6,4,14,0.59997,0.499476,0.179717,0.033478,0.254
2022,6,4,15,0.599998,0.512701,0.184102,0.034328,0.254
2022,6,4,16,0.6,0.522033,0.188494,0.035216,0.254
2022,6,4,17,0.305734,0.392619,0.176144,0.028223,0
2022,6,4,18,0.250939,0.347862,0.171078,0.027879,0
2022,6,4,19,0.228296,0.324352,0.172548,0.02984,0
2022,6,4,20,0.218116,0.306824,0.171768,0.030114,0
2022,6,4,21,0.221749,0.30001,0.171862,0.032476,0
2022,6,4,22,0.250359,0.308495,0.171832,0.033523,0
2022,6,4,23,0.270379,0.312477,0.171752,0.033597,0
2022,6,5,0,0.269476,0.31427,0.171694,0.033656,0
2022,6,5,1,0.268364,0.315597,0.171673,0.033712,0
2022,6,5,2,0.286936,0.31641,0.171674,0.033768,0
2022,6,5,3,0.310259,0.316675,0.171693,0.033817,0
2022,6,5,4,0.306141,0.316765,0.171726,0.033865,0
2022,6,5,5,0.317555,0.316792,0.171771,0.033917,0
2022,6,5,6,0.58164,0.385906,0.177563,0.036796,0.254
2022,6,5,7,0.332388,0.339281,0.17341,0.032348,0
2022,6,5,8,0.287354,0.304115,0.17036,0.030142,0
2022,6,5,9,0.252364,0.279133,0.17052,0.030428,0
2022,6,5,10,0.230444,0.260755,0.167699,0.029903,0
2022,6,5,11,0.587755,0.368901,0.175214,0.033901,0.508
2022,6,5,12,0.313984,0.305728,0.168712,0.03016,0
2022,6,5,13,0.252879,0.26752,0.161075,0.028534,0
2022,6,5,14,0.208808,0.238312,0.154746,0.028042,0
2022,6,5,15,0.177359,0.216265,0.150359,0.028023,0
2022,6,5,16,0.158929,0.198035,0.145383,0.027848,0
2022,6,5,17,0.592894,0.282647,0.147893,0.03057,0.254
2022,6,5,18,0.285803,0.226555,0.141608,0.02816,0
2022,6,5,19,0.231897,0.213999,0.146037,0.030789,0
2022,6,5,20,0.216237,0.219057,0.147402,0.034111,0
2022,6,5,21,0.220667,0.228125,0.14821,0.034272,0
2022,6,5,22,0.587514,0.365757,0.158809,0.039251,1.016
2022,6,5,23,0.326543,0.434778,0.162195,0.039446,0
2022,6,6,0,0.5882,0.49824,0.175688,0.044712,1.524
2022,6,6,1,0.59862,0.525616,0.185171,0.047848,1.016
2022,6,6,2,0.599838,0.542907,0.192489,0.049137,0.254
2022,6,6,3,0.330555,0.542907,0.19872,0.049678,0
2022,6,6,4,0.319962,0.542907,0.204119,0.050206,0
2022,6,6,5,0.318989,0.542907,0.20882,0.050761,0
2022,6,6,6,0.319461,0.542907,0.213158,0.051277,0
2022,6,6,7,0.320889,0.542907,0.217096,0.051797,0
2022,6,6,8,0.314637,0.438366,0.210556,0.037779,0
2022,6,6,9,0.281907,0.375799,0.203111,0.036967,0
2022,6,6,10,0.250405,0.337316,0.197046,0.03624,0
2022,6,6,11,0.213635,0.299361,0.187756,0.035251,0
2022,6,6,12,0.181905,0.263974,0.176736,0.034572,0
2022,6,6,13,0.162083,0.237474,0.169565,0.034629,0
2022,6,6,14,0.590667,0.390985,0.175835,0.041831,5.08
2022,6,6,15,0.599621,0.468477,0.176702,0.042869,0.254
2022,6,6,16,0.292467,0.340005,0.160433,0.03545,0
2022,6,6,17,0.5929,0.472114,0.16714,0.040475,1.016
2022,6,6,18,0.290365,0.349757,0.151454,0.035268,0
2022,6,6,19,0.593307,0.449733,0.155974,0.039407,0.508
2022,6,6,20,0.320701,0.36449,0.159133,0.038555,0
2022,6,6,21,0.285077,0.340992,0.160321,0.040341,0
2022,6,6,22,0.280931,0.334952,0.161538,0.041746,0
2022,6,6,23,0.275841,0.33307,0.16232,0.04202,0
2022,6,7,0,0.269952,0.331701,0.163013,0.04209,0
2022,6,7,1,0.275362,0.331128,0.163428,0.042159,0
2022,6,7,2,0.280162,0.327679,0.163776,0.042232,0
2022,6,7,3,0.280971,0.32677,0.164082,0.042299,0
2022,6,7,4,0.27682,0.324861,0.165094,0.042601,0
2022,6,7,5,0.296426,0.324831,0.165655,0.043552,0
2022,6,7,6,0.304712,0.312668,0.165557,0.04208,0
2022,6,7,7,0.294825,0.296404,0.165223,0.04041,0
2022,6,7,8,0.250445,0.271703,0.162551,0.038524,0
2022,6,7,9,0.205909,0.241323,0.152061,0.036841,0
2022,6,7,10,0.168496,0.212371,0.143062,0.03375,0
2022,6,7,11,0.142482,0.188783,0.13744,0.03216,0
2022,6,7,12,0.124276,0.169066,0.133526,0.031751,0
2022,6,7,13,0.111265,0.152976,0.131455,0.031982,0
2022,6,7,14,0.103122,0.141534,0.131886,0.036161,0
2022,6,7,15,0.096558,0.131214,0.129127,0.033927,0
2022,6,7,16,0.090857,0.12165,0.126105,0.03334,0
2022,6,7,17,0.087343,0.115166,0.125893,0.036121,0
2022,6,7,18,0.085985,0.109105,0.123522,0.034746,0
2022,6,7,19,0.095057,0.107149,0.124953,0.036339,0
2022,6,7,20,0.110398,0.110904,0.130495,0.037452,0
2022,6,7,21,0.140916,0.117508,0.131962,0.03891,0
2022,6,7,22,0.16172,0.124852,0.13298,0.039749,0
2022,6,7,23,0.177333,0.132932,0.13423,0.041364,0
2022,6,8,0,0.197121,0.143879,0.135732,0.042619,0
2022,6,8,1,0.212109,0.155748,0.136848,0.043265,0
2022,6,8,2,0.222949,0.1685,0.137711,0.043341,0
2022,6,8,3,0.237723,0.182999,0.138641,0.043572,0
2022,6,8,4,0.239466,0.195564,0.139406,0.04359,0
2022,6,8,5,0.238845,0.205838,0.140123,0.043592,0
2022,6,8,6,0.243157,0.206888,0.140415,0.04294,0
2022,6,8,7,0.243486,0.207185,0.140345,0.04179,0
2022,6,8,8,0.224766,0.199007,0.139976,0.039656,0
2022,6,8,9,0.204015,0.188468,0.140013,0.039116,0
2022,6,8,10,0.185023,0.178253,0.138603,0.038635,0
2022,6,8,11,0.16926,0.171118,0.139158,0.038835,0
2022,6,8,12,0.160183,0.165405,0.137943,0.038626,0
2022,6,8,13,0.15433,0.1612,0.138173,0.038716,0
2022,6,8,14,0.14519,0.154572,0.13516,0.038224,0
2022,6,8,15,0.137409,0.14698,0.132137,0.037937,0
2022,6,8,16,0.129596,0.138305,0.12806,0.037642,0
2022,6,8,17,0.119332,0.128666,0.12351,0.037434,0
2022,6,8,18,0.116738,0.124636,0.124583,0.037735,0
2022,6,8,19,0.592535,0.212572,0.129392,0.040601,0.254
2022,6,8,20,0.295199,0.184616,0.129387,0.039657,0
2022,6,8,21,0.250416,0.184867,0.130922,0.041755,0
2022,6,8,22,0.232604,0.19161,0.132331,0.043195,0
2022,6,8,23,0.227601,0.202289,0.133263,0.043425,0
2022,6,9,0,0.227279,0.212309,0.134197,0.04387,0
2022,6,9,1,0.22867,0.220678,0.134995,0.043908,0
2022,6,9,2,0.225882,0.227901,0.135761,0.043983,0
2022,6,9,3,0.236299,0.234561,0.136616,0.044331,0
2022,6,9,4,0.259524,0.240829,0.137121,0.044401,0
2022,6,9,5,0.28638,0.245302,0.137549,0.044472,0
2022,6,9,6,0.296543,0.251268,0.138772,0.045336,0
2022,6,9,7,0.283753,0.248258,0.138244,0.042932,0
2022,6,9,8,0.250073,0.234187,0.138059,0.041299,0
2022,6,9,9,0.210272,0.209863,0.132089,0.039268,0
2022,6,9,10,0.174412,0.186123,0.1254,0.038784,0
2022,6,9,11,0.143559,0.165547,0.119504,0.035642,0
2022,6,9,12,0.11762,0.146956,0.113429,0.033603,0
2022,6,9,13,0.097966,0.130946,0.109502,0.032841,0
2022,6,9,14,0.084683,0.117252,0.106354,0.031904,0
2022,6,9,15,0.076794,0.106787,0.105575,0.033007,0
2022,6,9,16,0.07132,0.098715,0.104651,0.034023,0
2022,6,9,17,0.068604,0.093334,0.104726,0.036002,0
2022,6,9,18,0.076231,0.090442,0.104657,0.037446,0
2022,6,9,19,0.082882,0.090469,0.106535,0.038141,0
2022,6,9,20,0.094709,0.093425,0.109611,0.038689,0
2022,6,9,21,0.109456,0.097696,0.110714,0.039369,0
2022,6,9,22,0.119445,0.102558,0.111578,0.039937,0
2022,6,9,23,0.126718,0.107605,0.112387,0.040559,0
2022,6,10,0,0.131689,0.11302,0.113069,0.040867,0
2022,6,10,1,0.137081,0.118432,0.113759,0.041211,0
2022,6,10,2,0.153428,0.125909,0.115037,0.042846,0
2022,6,10,3,0.171527,0.13617,0.116327,0.043593,0
2022,6,10,4,0.181901,0.147449,0.117239,0.043804,0
2022,6,10,5,0.192318,0.159884,0.118164,0.044095,0
2022,6,10,6,0.186483,0.163081,0.11828,0.043105,0
2022,6,10,7,0.177109,0.163685,0.11837,0.042074,0
2022,6,10,8,0.193837,0.168463,0.119771,0.043965,0
2022,6,10,9,0.221212,0.177376,0.120504,0.043941,0
2022,6,10,10,0.591552,0.269879,0.12695,0.046827,0.254
2022,6,10,11,0.301111,0.23173,0.122106,0.041238,0
2022,6,10,12,0.595001,0.365908,0.132314,0.045827,0.762
2022,6,10,13,0.599774,0.433464,0.137348,0.046652,0.254
2022,6,10,14,0.302174,0.33265,0.131603,0.04125,0
2022,6,10,15,0.594989,0.465134,0.143144,0.046195,1.016
2022,6,10,16,0.599787,0.535291,0.150595,0.047733,0.508
2022,6,10,17,0.59999,0.559453,0.16016,0.05102,1.016
2022,6,10,18,0.6,0.572716,0.169354,0.053483,0.762
2022,6,10,19,0.6,0.581188,0.17699,0.054674,0.254
2022,6,10,20,0.317999,0.436584,0.171186,0.046297,0
2022,6,10,21,0.592302,0.473967,0.178189,0.049201,0.254
2022,6,10,22,0.599498,0.49835,0.182089,0.050018,0.254
2022,6,10,23,0.314703,0.507296,0.185115,0.050179,0
2022,6,11,0,0.313449,0.514004,0.187663,0.050319,0
2022,6,11,1,0.31296,0.520733,0.189945,0.050458,0
2022,6,11,2,0.313524,0.527103,0.191956,0.050607,0
2022,6,11,3,0.314092,0.533074,0.193726,0.050741,0
2022,6,11,4,0.314259,0.539105,0.195333,0.050873,0
2022,6,11,5,0.590855,0.571562,0.207708,0.056561,1.778
2022,6,11,6,0.599285,0.581006,0.22934,0.069521,4.572
2022,6,11,7,0.599945,0.586525,0.24328,0.0728,0.762
2022,6,11,8,0.599945,0.586525,0.255112,0.074371,0
2022,6,11,9,0.599996,0.590235,0.274457,0.080039,0.508
2022,6,11,10,0.6,0.592799,0.294434,0.087515,2.032
2022,6,11,11,0.6,0.594624,0.313987,0.095269,1.778
2022,6,11,12,0.6,0.59599,0.339827,0.106931,3.302
2022,6,11,13,0.314181,0.437811,0.344103,0.109214,0
2022,6,11,14,0.253781,0.374653,0.337955,0.112196,0
2022,6,11,15,0.229658,0.347743,0.321144,0.115025,0
2022,6,11,16,0.209021,0.317688,0.293398,0.117221,0
2022,6,11,17,0.188801,0.288686,0.277148,0.119783,0
2022,6,11,18,0.181961,0.272613,0.267792,0.121802,0
2022,6,11,19,0.188555,0.263148,0.262642,0.123544,0
2022,6,11,20,0.185393,0.250192,0.253334,0.100476,0
2022,6,11,21,0.193977,0.245808,0.255048,0.102293,0
2022,6,11,22,0.233642,0.255345,0.255259,0.103566,0
2022,6,11,23,0.238274,0.263004,0.255264,0.104318,0
2022,6,12,0,0.266672,0.267894,0.254986,0.104907,0
2022,6,12,1,0.281885,0.269809,0.254715,0.105462,0
2022,6,12,2,0.283765,0.270788,0.254459,0.106042,0
2022,6,12,3,0.296053,0.271386,0.254223,0.106546,0
2022,6,12,4,0.3015,0.271803,0.254011,0.107029,0
2022,6,12,5,0.314771,0.272107,0.253819,0.107538,0
2022,6,12,6,0.299549,0.276103,0.253647,0.107999,0
2022,6,12,7,0.285722,0.279195,0.253878,0.108384,0
2022,6,12,8,0.252621,0.258966,0.243387,0.107708,0
2022,6,12,9,0.223941,0.240237,0.236727,0.106401,0
2022,6,12,10,0.200845,0.22307,0.228137,0.103004,0
2022,6,12,11,0.182225,0.206827,0.219475,0.100285,0
2022,6,12,12,0.166284,0.192313,0.211622,0.099308,0
2022,6,12,13,0.148207,0.177834,0.203324,0.097261,0
2022,6,12,14,0.134301,0.16569,0.196948,0.09738,0
2022,6,12,15,0.127447,0.156764,0.192117,0.098485,0
2022,6,12,16,0.127387,0.15166,0.189853,0.101197,0
2022,6,12,17,0.129914,0.148737,0.188234,0.103414,0
2022,6,12,18,0.590644,0.235152,0.192425,0.106581,0.254
2022,6,12,19,0.599541,0.277627,0.19368,0.107653,0.254
2022,6,12,20,0.303056,0.2357,0.193541,0.10916,0
2022,6,12,21,0.258147,0.232832,0.196387,0.110444,0
2022,6,12,22,0.243708,0.241099,0.197725,0.110867,0
2022,6,12,23,0.243525,0.247714,0.198831,0.111242,0
2022,6,13,0,0.255894,0.253179,0.199425,0.111539,0
2022,6,13,1,0.266375,0.255959,0.199872,0.111827,0
2022,6,13,2,0.58567,0.33067,0.205904,0.11485,0.254
2022,6,13,3,0.316878,0.311974,0.204119,0.112543,0
2022,6,13,4,0.248849,0.278615,0.203441,0.111837,0
2022,6,13,5,0.203459,0.254563,0.200783,0.111821,0
2022,6,13,6,0.185303,0.240453,0.200796,0.112066,0
2022,6,13,7,0.175508,0.228628,0.196885,0.112023,0
2022,6,13,8,0.166408,0.215918,0.192527,0.110484,0
2022,6,13,9,0.154025,0.20055,0.185303,0.105502,0
2022,6,13,10,0.138594,0.182658,0.175863,0.099097,0
2022,6,13,11,0.123495,0.163115,0.163428,0.091411,0
2022,6,13,12,0.117444,0.153563,0.168149,0.097461,0
2022,6,13,13,0.109311,0.139875,0.157857,0.091525,0
2022,6,13,14,0.110203,0.132024,0.159646,0.094679,0
2022,6,13,15,0.108873,0.123401,0.155488,0.092735,0
2022,6,13,16,0.105893,0.117788,0.156756,0.094894,0
2022,6,13,17,0.117399,0.118088,0.162044,0.101978,0
2022,6,13,18,0.124991,0.116902,0.160189,0.10187,0
2022,6,13,19,0.580344,0.192394,0.16357,0.104813,0.254
2022,6,13,20,0.597705,0.235333,0.163667,0.105705,0.254
2022,6,13,21,0.327502,0.206581,0.169172,0.112671,0
2022,6,13,22,0.259591,0.196631,0.169999,0.112886,0
2022,6,13,23,0.577386,0.260888,0.175709,0.115753,0.254
2022,6,14,0,0.596337,0.298988,0.177964,0.11663,0.254
2022,6,14,1,0.329086,0.257343,0.174714,0.113835,0
2022,6,14,2,0.254402,0.235646,0.174855,0.113573,0
2022,6,14,3,0.208348,0.22055,0.175132,0.113614,0
2022,6,14,4,0.183559,0.21084,0.175439,0.113723,0
2022,6,14,5,0.172293,0.205245,0.175801,0.113923,0
2022,6,14,6,0.177962,0.202189,0.175997,0.114029,0
2022,6,14,7,0.173219,0.196768,0.17435,0.113856,0
2022,6,14,8,0.167502,0.18982,0.171791,0.113731,0
2022,6,14,9,0.158828,0.180545,0.167325,0.111051,0
2022,6,14,10,0.148717,0.170081,0.162371,0.107443,0
2022,6,14,11,0.138359,0.159037,0.156782,0.103446,0
2022,6,14,12,0.12978,0.149083,0.152298,0.101319,0
2022,6,14,13,0.125239,0.143222,0.15245,0.102836,0
2022,6,14,14,0.123815,0.137316,0.149688,0.101698,0
2022,6,14,15,0.122457,0.134162,0.150905,0.104448,0
2022,6,14,16,0.120615,0.128743,0.146713,0.10193,0
2022,6,14,17,0.121876,0.12594,0.147152,0.10393,0
2022,6,14,18,0.126539,0.122589,0.144525,0.102654,0
2022,6,14,19,0.139301,0.125274,0.14979,0.109076,0
2022,6,14,20,0.139767,0.127452,0.150486,0.111031,0
2022,6,14,21,0.145064,0.130673,0.153624,0.112929,0
2022,6,14,22,0.155504,0.134897,0.154551,0.113259,0
2022,6,14,23,0.152487,0.13754,0.155187,0.113372,0
2022,6,15,0,0.152164,0.140657,0.155862,0.113549,0
2022,6,15,1,0.15034,0.142786,0.156341,0.113548,0
2022,6,15,2,0.149909,0.144819,0.156889,0.113679,0
2022,6,15,3,0.151556,0.146895,0.157402,0.113782,0
2022,6,15,4,0.153506,0.148953,0.157897,0.11389,0
2022,6,15,5,0.151303,0.149906,0.158223,0.113832,0
2022,6,15,6,0.158837,0.152175,0.158819,0.114142,0
2022,6,15,7,0.154799,0.151445,0.158793,0.113739,0
2022,6,15,8,0.147394,0.146974,0.155082,0.11298,0
2022,6,15,9,0.137689,0.13773,0.148542,0.107133,0
2022,6,15,10,0.131182,0.131828,0.147417,0.107816,0
2022,6,15,11,0.123877,0.124864,0.142627,0.104329,0
2022,6,15,12,0.115732,0.11424,0.13398,0.098193,0
2022,6,15,13,0.107635,0.108026,0.134089,0.099575,0
2022,6,15,14,0.10264,0.104179,0.133781,0.101169,0
2022,6,15,15,0.098975,0.098071,0.128686,0.098076,0
2022,6,15,16,0.096446,0.093613,0.127258,0.098414,0
2022,6,15,17,0.091979,0.088289,0.124187,0.096941,0
2022,6,15,18,0.08906,0.08525,0.123828,0.098484,0
2022,6,15,19,0.098001,0.087241,0.126889,0.103317,0
2022,6,15,20,0.114795,0.092136,0.132633,0.110881,0
2022,6,15,21,0.127749,0.098135,0.134021,0.111123,0
2022,6,15,22,0.13677,0.104172,0.134982,0.11129,0
2022,6,15,23,0.171643,0.114536,0.136758,0.112616,0
2022,6,16,0,0.18976,0.127007,0.137891,0.112974,0
2022,6,16,1,0.200892,0.139314,0.139039,0.113433,0
2022,6,16,2,0.215928,0.152022,0.140204,0.113768,0
2022,6,16,3,0.231642,0.166216,0.141134,0.113947,0
2022,6,16,4,0.241199,0.1813,0.14197,0.11405,0
2022,6,16,5,0.244039,0.193989,0.142771,0.114149,0
2022,6,16,6,0.249223,0.195391,0.142728,0.113448,0
2022,6,16,7,0.250133,0.196723,0.142863,0.113034,0
2022,6,16,8,0.230433,0.191607,0.142574,0.112157,0
2022,6,16,9,0.195342,0.172207,0.135535,0.10705,0
2022,6,16,10,0.162827,0.152656,0.129442,0.102119,0
2022,6,16,11,0.135082,0.135711,0.12312,0.097859,0
2022,6,16,12,0.113441,0.121577,0.117961,0.095944,0
2022,6,16,13,0.100202,0.113441,0.118594,0.099017,0
2022,6,16,14,0.088376,0.104625,0.114955,0.097074,0
2022,6,16,15,0.076426,0.094989,0.110536,0.095112,0
2022,6,16,16,0.066364,0.087635,0.108788,0.095562,0
2022,6,16,17,0.059348,0.081786,0.107373,0.09576,0
2022,6,16,18,0.068996,0.081974,0.110387,0.10068,0
2022,6,16,19,0.085004,0.084849,0.112845,0.10407,0
2022,6,16,20,0.096724,0.088182,0.115148,0.106639,0
2022,6,16,21,0.105311,0.092193,0.116217,0.106713,0
2022,6,16,22,0.104752,0.095347,0.116925,0.106678,0
2022,6,16,23,0.12031,0.100481,0.117925,0.107073,0
2022,6,17,0,0.140652,0.108292,0.118955,0.107474,0
2022,6,17,1,0.152928,0.116475,0.119776,0.107724,0
2022,6,17,2,0.152553,0.122817,0.120224,0.107596,0
2022,6,17,3,0.159878,0.129544,0.121133,0.107999,0
2022,6,17,4,0.173658,0.137738,0.122234,0.108607,0
2022,6,17,5,0.184785,0.146731,0.123416,0.10909,0
2022,6,17,6,0.195885,0.153238,0.123508,0.108571,0
2022,6,17,7,0.199644,0.157647,0.123442,0.107917,0
2022,6,17,8,0.183395,0.155727,0.123209,0.107177,0
2022,6,17,9,0.158262,0.141644,0.117676,0.102422,0
2022,6,17,10,0.134842,0.126431,0.112437,0.097995,0
2022,6,17,11,0.115483,0.113592,0.107391,0.09486,0
2022,6,17,12,0.100657,0.103253,0.10364,0.0937,0
2022,6,17,13,0.090193,0.094878,0.100847,0.093264,0
2022,6,17,14,0.081388,0.087166,0.097653,0.092267,0
2022,6,17,15,0.074865,0.080877,0.095588,0.09222,0
2022,6,17,16,0.070991,0.077708,0.095742,0.094193,0
2022,6,17,17,0.071798,0.076466,0.095669,0.095116,0
2022,6,17,18,0.076291,0.076898,0.096536,0.096306,0
2022,6,17,19,0.082123,0.078316,0.09783,0.097778,0
2022,6,17,20,0.089197,0.080746,0.099699,0.100705,0
2022,6,17,21,0.105204,0.085328,0.100656,0.100913,0
2022,6,17,22,0.112184,0.090163,0.101341,0.101021,0
2022,6,17,23,0.118221,0.095136,0.102052,0.101227,0
2022,6,18,0,0.133213,0.102016,0.102972,0.101601,0
2022,6,18,1,0.159672,0.112534,0.104719,0.102696,0
2022,6,18,2,0.160688,0.121335,0.104726,0.10218,0
2022,6,18,3,0.156032,0.126853,0.105073,0.101996,0
2022,6,18,4,0.186023,0.139816,0.107013,0.103291,0
2022,6,18,5,0.587187,0.296729,0.117833,0.109133,2.286
2022,6,18,6,0.319932,0.377534,0.121578,0.109367,0
2022,6,18,7,0.31403,0.409972,0.124929,0.109607,0
2022,6,18,8,0.292134,0.352963,0.121568,0.103659,0
2022,6,18,9,0.246228,0.306247,0.121047,0.102339,0
2022,6,18,10,0.205461,0.267366,0.118739,0.101969,0
2022,6,18,11,0.179296,0.241815,0.118735,0.101972,0
2022,6,18,12,0.15659,0.217625,0.113163,0.097641,0
2022,6,18,13,0.142012,0.19629,0.109244,0.095538,0
2022,6,18,14,0.593782,0.34925,0.117812,0.100876,1.778
2022,6,18,15,0.599789,0.423841,0.120342,0.101534,0.254
2022,6,18,16,0.278162,0.305448,0.108083,0.094004,0
2022,6,18,17,0.214632,0.263471,0.111755,0.100785,0
2022,6,18,18,0.182195,0.242146,0.112124,0.10091,0
2022,6,18,19,0.161787,0.225121,0.112313,0.100893,0
2022,6,18,20,0.160946,0.217103,0.112976,0.101413,0
2022,6,18,21,0.174854,0.2169,0.113817,0.101958,0
2022,6,18,22,0.188903,0.220566,0.11513,0.102908,0
2022,6,18,23,0.588436,0.33531,0.123564,0.106949,0.508
2022,6,19,0,0.5991,0.391502,0.126905,0.107778,0.254
2022,6,19,1,0.599918,0.418684,0.130981,0.109317,0.508
2022,6,19,2,0.599992,0.436345,0.134498,0.110292,0.254
2022,6,19,3,0.599999,0.452638,0.13979,0.112605,0.762
2022,6,19,4,0.327493,0.464372,0.143197,0.112923,0
2022,6,19,5,0.318252,0.472498,0.146218,0.113259,0
2022,6,19,6,0.585924,0.528736,0.154992,0.116436,0.254
2022,6,19,7,0.324307,0.500369,0.159891,0.116893,0
2022,6,19,8,0.287021,0.394912,0.152779,0.10514,0
2022,6,19,9,0.589315,0.491168,0.163903,0.109841,0.762
2022,6,19,10,0.599132,0.54555,0.172828,0.112807,1.016
2022,6,19,11,0.599936,0.56623,0.181046,0.113983,0.254
2022,6,19,12,0.309654,0.421465,0.16434,0.105646,0
2022,6,19,13,0.249325,0.364667,0.162916,0.10575,0
2022,6,19,14,0.214442,0.32994,0.160216,0.105716,0
2022,6,19,15,0.195309,0.30076,0.158413,0.105722,0
2022,6,19,16,0.588981,0.425535,0.167353,0.110431,0.762
2022,6,19,17,0.306195,0.342934,0.157765,0.105813,0
2022,6,19,18,0.240507,0.298785,0.154656,0.10571,0
2022,6,19,19,0.209389,0.27621,0.156539,0.106117,0
2022,6,19,20,0.201706,0.265807,0.156444,0.106481,0
2022,6,19,21,0.206113,0.260457,0.156511,0.10682,0
2022,6,19,22,0.220728,0.263757,0.157309,0.107997,0
2022,6,19,23,0.215002,0.263115,0.157617,0.108164,0
2022,6,20,0,0.207864,0.2613,0.157979,0.10837,0
2022,6,20,1,0.209503,0.262725,0.158469,0.108455,0
2022,6,20,2,0.23675,0.269822,0.158886,0.108588,0
2022,6,20,3,0.268573,0.274871,0.15916,0.108637,0
2022,6,20,4,0.27993,0.277141,0.15941,0.108685,0
2022,6,20,5,0.581564,0.346767,0.165039,0.111423,0.254
2022,6,20,6,0.329815,0.311751,0.161288,0.108742,0
2022,6,20,7,0.283619,0.293483,0.161145,0.108132,0
2022,6,20,8,0.246752,0.272626,0.16063,0.107155,0
